Question:問題文,Options[0]:正解選択肢,Options[1]:不正解選択肢1,Options[2]:不正解選択肢2,Options[3]:不正解選択肢3,Supplement:捕捉情報,Difficulty:難易度
"Transformerにおいて自己注意機構がもたらす効果はどれか？","長距離依存関係の効果的な学習","モデルの軽量化","データ拡張の自動化","勾配消失の防止","自己注意機構は長距離依存関係の学習を可能にします。",1
"ハイパーパラメータの最適化手法で、探索空間を事前分布に基づいて効率的に検索する方法はどれか？","ベイズ最適化","グリッドサーチ","ランダムサーチ","遺伝的アルゴリズム","ベイズ最適化は事前分布を用いて効率的に探索します。",1
"過学習を防ぐためにデータを増やす技術はどれか？","データ拡張","ドロップアウト","バッチ正規化","早期終了","データ拡張はデータセットを増やして過学習を防ぎます。",1
"画像データの拡張手法でないものはどれか？","スペックアグメント","フリップ","回転","クロップ","スペックアグメントは音声データの拡張手法です。",1
"Dockerは何を提供するためのツールか？","コンテナ型仮想化","ハイパーバイザー","データベース管理","ネットワーク監視","Dockerはコンテナ型仮想化を提供します。",1
"GPUによる計算の高速化で利用される原理はどれか？","SIMD（単一命令複数データ）","MIMD（複数命令複数データ）","SISD（単一命令単一データ）","MISD（複数命令単一データ）","GPUはSIMDアーキテクチャを利用します。",1
"次のうち、データを複数のクラスタに分ける手法はどれか？","k-meansクラスタリング","主成分分析","線形回帰","ロジスティック回帰","k-meansクラスタリングはデータを複数のクラスタに分ける手法です。",1
"次のうち、ディープラーニングモデルのトレーニングにおいて、学習率を適応的に調整するアルゴリズムはどれか？","Adam","SGD","RMSprop","最急降下法","Adamは学習率を適応的に調整するアルゴリズムです。",3
"モデルの軽量化手法で、不要なパラメータを削減するものはどれか？","プルーニング（枝刈り）","量子化","蒸留","圧縮","プルーニングは不要なパラメータを削減します。",1
"教師なし学習の例として正しいものはどれか？","クラスタリング","回帰分析","分類","ロジスティック回帰","クラスタリングは教師なし学習の一種です。",1
"t-SNEの主な利用目的はどれか？","高次元データの可視化","モデルの評価","データの正規化","パラメータの最適化","t-SNEは高次元データを低次元に可視化します。",1
"Autoencoderのボトルネック層の役割はどれか？","データの圧縮","活性化関数の適用","勾配の計算","データの拡張","ボトルネック層はデータを低次元に圧縮します。",1
"GANにおいて、生成器と識別器が競い合う関係を何と呼ぶか？","敵対的関係","協調関係","従属関係","並列関係","GANは生成器と識別器の敵対的関係を利用します。",1
"DQNが解決を目指す問題はどれか？","強化学習における連続値の行動選択","教師なし学習のクラスタリング","自然言語処理の文生成","画像分類の精度向上","DQNは強化学習で連続値の行動選択を扱います。",1
"転移学習で、既存モデルの知識を新しいタスクに適用する際の方法はどれか？","ファインチューニング","ゼロからの学習","モデルの破棄","データの再収集","ファインチューニングは既存モデルを微調整します。",1
"モデルの説明性を高めるために、入力特徴量の重要度を計算する手法はどれか？","SHAP値","t-SNE","PCA","LDA","SHAP値は特徴量の重要度を定量化します。",1
"連合学習（Federated Learning）の主な利点はどれか？","データのプライバシーを保護しつつ学習可能","計算資源の集約","データの一元管理","モデルのサイズ削減","連合学習はプライバシーを保護しながら学習できます。",1
"GPUが得意とする処理はどれか？","並列計算","論理演算","単一処理","データベース管理","GPUは並列計算を高速に行えます。",1
"モデルの量子化が目的とすることはどれか？","モデルの軽量化と高速化","勾配の安定化","学習率の自動調整","パラメータの増加","量子化はモデルを軽量化し、推論を高速化します。",1
"教師あり学習と教師なし学習の組み合わせで行われる学習はどれか？","半教師あり学習","強化学習","深層学習","転移学習","半教師あり学習は両者を組み合わせた学習です。",1
"XAI（Explainable AI）が重要視される理由はどれか？","AIの判断根拠を理解・説明するため","計算速度を上げるため","データ保存量を減らすため","モデルの複雑さを増すため","XAIはAIの判断根拠を明らかにします。",1
"ノイズ除去オートエンコーダ（Denoising Autoencoder）の目的はどれか？","入力データからノイズを除去する","データの拡張","モデルの軽量化","勾配消失の防止","ノイズ除去オートエンコーダはノイズを除去します。",1
"一様分布の確率密度関数において、特定の範囲外の値の確率はどれか？","0","1","範囲に依存する","無限大","一様分布では範囲外の確率は0です。",1
"次元の呪いが発生する主な原因はどれか？","データの高次元化によるデータ疎密度の増加","データ量の不足","モデルの過学習","計算資源の不足","高次元になるとデータが疎になり解析が困難になります。",1
"注意（Attention）機構が解決を目指す問題はどれか？","長い系列データの依存関係の学習","データの不足","計算コストの増加","モデルの過学習","Attentionは長い系列での依存関係を学習します。",1
"VAE（Variational AutoEncoder）の特徴はどれか？","生成モデルとして機能する","分類性能を高める","計算速度を上げる","データをクラスタリングする","VAEはデータの生成モデルとして機能します。",1
"ハミルトニアンモンテカルロ法が関連するのはどの分野か？","ベイズ推定","クラスタリング","強化学習","画像認識","ハミルトニアンモンテカルロ法はベイズ推定で使われます。",1
"スパース表現を促進する正則化手法はどれか？","L1正則化","L2正則化","ドロップアウト","バッチ正規化","L1正則化はスパースなモデルを促進します。",1
"決定木の深さを制限することの主な効果はどれか？","過学習の防止","計算時間の増加","モデルの複雑化","データの増加","深さを制限すると過学習を防げます。",1
"非線形な特性を捉えるためにカーネル法を用いるアルゴリズムはどれか？","サポートベクターマシン","ロジスティック回帰","線形回帰","ナイーブベイズ","カーネル法はSVMで用いられます。",1
"データの分布を仮定せずに距離情報のみでクラスタリングを行う手法はどれか？","DBSCAN","k-means","主成分分析","線形判別分析","DBSCANはデータ分布を仮定せずにクラスタリングします。",1
